fpr,tpr,threshold
0.0,0.0,inf
0.0,0.045454545454545456,0.90871523803101
0.0,0.36363636363636365,0.8047542060575937
0.047619047619047616,0.36363636363636365,0.7950557458232016
0.047619047619047616,0.5454545454545454,0.7407049196442592
0.09523809523809523,0.5454545454545454,0.7280778189864275
0.09523809523809523,0.6363636363636364,0.7002179354154829
0.14285714285714285,0.6363636363636364,0.6798016036541086
0.14285714285714285,0.6818181818181818,0.6795917198421038
0.19047619047619047,0.6818181818181818,0.6755999061937229
0.19047619047619047,0.8181818181818182,0.6403791234878199
0.23809523809523808,0.8181818181818182,0.628204887542355
0.23809523809523808,0.9090909090909091,0.509162820148356
0.38095238095238093,0.9090909090909091,0.3555559123177014
0.38095238095238093,0.9545454545454546,0.33443515018386843
0.7619047619047619,0.9545454545454546,0.16242038820957383
0.7619047619047619,1.0,0.15304049362395938
1.0,1.0,0.07245075526707646
