gene,selection_count,median_coefficient,selection_frequency
CYBB,2,-0.061262268168850706,0.04
EI24,2,-0.10916591334759743,0.04
FMO3,2,-0.15774796910687955,0.04
FOSB,2,0.03168880534817505,0.04
GNS,2,0.0018227970910807533,0.04
GPI,2,-0.035532009144068635,0.04
HLA-DMB,2,-0.04669552096438495,0.04
HRH1,2,-0.02889056161408045,0.04
ITGAX,2,-0.09697808434618889,0.04
KCNK3,2,0.10396052132293469,0.04
KRTAP3-1,2,0.2928279637736923,0.04
LEPR,2,0.0023664955878943596,0.04
LINC01133,2,-0.03562985585049432,0.04
LINC01140,2,0.034908964087732974,0.04
LINC01279,2,-0.003321128741976739,0.04
LOC100506282,2,0.3473194621106264,0.04
LOC645166,2,-0.1831498183083487,0.04
LPGAT1,2,-0.20021401055415133,0.04
MPP1,2,-0.037627006204845416,0.04
MYO1C,2,0.18868163362968132,0.04
NLN,2,-0.1432112039566144,0.04
NRK,2,0.3982057292903072,0.04
PAPPA2,2,0.1252587146648799,0.04
PEPD,2,-0.0351922915292389,0.04
PIFO,2,-0.27574639721609484,0.04
PPP1R15A,2,0.03184464174508596,0.04
PRKCSH,2,0.001737486172149156,0.04
PTPRF,2,-0.015390981098034053,0.04
RP11-225H22.4,2,0.05640006512880724,0.04
RP11-401P9.4,2,0.13062612037403434,0.04
RP11-50B3.4,2,0.03772359228644562,0.04
SLC12A7,2,-0.03353545324140883,0.04
SNN,2,-0.06681772958001612,0.04
STS,2,-0.04599919709138675,0.04
TBC1D8,2,-0.26436800231824154,0.04
TLE2,2,0.10686991042357635,0.04
TNC,2,0.19330915700183382,0.04
TRABD2B,2,0.07331688060490595,0.04
TRIM8,2,-0.0135319677294908,0.04
ZCCHC24,2,-0.013941519664716009,0.04
ZNF492,2,-0.04597109390465564,0.04
ABCC1,1,0.05563814564998305,0.02
ABHD14A,1,0.13568052299932404,0.02
ADAMTS5,1,-0.11887531560193942,0.02
ADRBK2,1,-0.041846370176765846,0.02
AKAP6,1,-0.3222857176973517,0.02
AP000266.7,1,0.01563371932877144,0.02
ARHGAP26,1,0.2813886287944302,0.02
ART4,1,0.10500535426518236,0.02
ASB13,1,-0.04511674250462693,0.02
BC022568,1,0.03649444423340468,0.02
C3,1,-0.02357735073324784,0.02
CCDC69,1,0.2528932273468064,0.02
CCDC80,1,0.011898207008013412,0.02
CCT4,1,-0.19668079980174,0.02
CD163L1,1,-0.10206398765618584,0.02
CD200R1,1,-0.04413838109419019,0.02
CD24,1,-0.09283547008657148,0.02
CD4,1,-0.20307796120858662,0.02
CD81,1,-0.040330808183592776,0.02
CFD,1,-0.23148070165076778,0.02
CHI3L1,1,0.2724333205777334,0.02
CHMP4C,1,0.03499890483377759,0.02
CHP1,1,0.15803862944189834,0.02
CLCN6,1,-0.0873660828996199,0.02
CLEC3B,1,-0.18443787157126537,0.02
CMTM3,1,-0.20912374348684637,0.02
COPG1,1,-0.016089539314600932,0.02
CTSA,1,-0.035666695737129175,0.02
CTSK,1,0.14534221143795273,0.02
CUTC,1,-0.020538447040232586,0.02
DDX41,1,-0.0427694019706668,0.02
DFNA5,1,-0.02532308971331148,0.02
DRAM2,1,0.20918621825402198,0.02
DRG1,1,-0.04209903430962878,0.02
EMP3,1,0.07341311582040203,0.02
EPG5,1,-0.2773326322266097,0.02
ERC2,1,0.0512536860526927,0.02
ESYT1,1,0.04484246872506372,0.02
F2RL3,1,0.45514292565284015,0.02
F8A1,1,0.1462156782023753,0.02
FMNL3,1,0.04376671626705679,0.02
FMO1,1,-0.028048033156714523,0.02
GABPB1-AS1,1,-0.2718314950121801,0.02
GADD45B,1,0.025611207881856144,0.02
GFPT2,1,-0.07531337526648967,0.02
GPX1,1,-0.036510804879136494,0.02
GXYLT2,1,-0.009535528055269377,0.02
GYPC,1,-0.03697124499956945,0.02
HEPH,1,-0.30018806553312194,0.02
HNF1B,1,0.05864050406504034,0.02
HRC,1,0.023929508330785616,0.02
ITIH3,1,0.06719860928831271,0.02
KIAA0020,1,0.033727012323395256,0.02
LCN6,1,0.17058441088472398,0.02
LMAN1,1,-0.017979229597644416,0.02
LOC100287896,1,0.19156673302935526,0.02
LOC100996643,1,0.3747164253514007,0.02
LOC101927877,1,0.22318440480661503,0.02
LOC284926,1,0.13873195462182017,0.02
LOC400043,1,-0.017306920820112273,0.02
LRRC4,1,-0.08412480174311723,0.02
LRRN4CL,1,-0.050831405383790246,0.02
LSM6,1,0.21670841243807526,0.02
M6PR,1,0.40595348045866314,0.02
MAN1C1,1,0.10521042229282027,0.02
MAPK9,1,-1.1649465738361475,0.02
MED25,1,-0.31799087629121137,0.02
MLEC,1,-0.043114414558705044,0.02
MOXD1,1,-0.044112156360063395,0.02
MR1,1,-0.13228398608360104,0.02
MRC1,1,-0.011405967109647192,0.02
MS4A4A,1,0.054828389213234165,0.02
MXRA5,1,-0.21941484950252513,0.02
MYO7A,1,-0.024232681302622162,0.02
NAAA,1,-0.2388156575790199,0.02
NFE2L1,1,-0.15461753583718535,0.02
NIM1K,1,0.08540743954164527,0.02
NNAT,1,-0.3792888606011319,0.02
NOTCH2,1,0.12404502231453483,0.02
NUDT9P1,1,0.024531144668712847,0.02
OGG1,1,0.0531184181238659,0.02
OLFML1,1,-0.019205869588694142,0.02
OLFML3,1,0.23029579229620073,0.02
OSCP1,1,-0.08350936560429549,0.02
PCDHA1,1,0.043316128309330355,0.02
PCOLCE,1,-0.08755742111321738,0.02
PDE4B,1,0.039945641972640014,0.02
PDGFRL,1,-0.364237206280471,0.02
PIK3CG,1,-0.013995838211999642,0.02
PMS2P4,1,-0.7814474725659698,0.02
PPAP2B,1,-0.01974604654533336,0.02
PPP6R3,1,-0.062470607288423734,0.02
PRR13,1,-0.040978743840673584,0.02
RAB30,1,-0.021208677415696778,0.02
RNF135,1,-0.015440513947683233,0.02
RP1-286D6.5,1,0.10463818261480251,0.02
RP11-108K3.2,1,0.08593107750246597,0.02
RP11-250B2.6,1,0.25113054041281774,0.02
RP11-330O11.3,1,-0.11061484170523452,0.02
RP11-521I2.3,1,0.031289616721904084,0.02
RSPO3,1,0.06944191796373325,0.02
RTN3,1,-0.012009906860118793,0.02
RUFY1,1,-0.049239991191059165,0.02
S100A8,1,0.24683233046191427,0.02
S100A9,1,0.29636015836877944,0.02
SERPINA1,1,0.19549861697884885,0.02
SIK1,1,0.08257358452258172,0.02
SLC25A1,1,-0.04542062828509417,0.02
SLC25A6,1,-0.03310019667852461,0.02
SLC38A1,1,0.14461581213571703,0.02
SLC39A1,1,-0.018361224401818723,0.02
SLC8A1,1,0.054757173952761466,0.02
SOD3,1,-0.04852428086143188,0.02
SPRY1,1,0.18299701662092532,0.02
TBC1D1,1,0.029967033890624866,0.02
TBCEL,1,0.11494274418892399,0.02
TCTA,1,0.3433975977951968,0.02
TGM2,1,0.5809958812294942,0.02
THTPA,1,-0.5356884078184021,0.02
TLN2,1,0.1117935519614337,0.02
TMEM37,1,-0.040228558312723185,0.02
TNFRSF21,1,-0.01770912447323694,0.02
TRDV3,1,-0.016404579705077384,0.02
TRHDE-AS1,1,0.03415901148696547,0.02
TRIM34,1,-0.049372834299523306,0.02
TRIP11,1,-0.1053919492895646,0.02
TRMT112,1,0.11651883611828213,0.02
TWIST2,1,-0.0019765179044891157,0.02
USP2,1,0.047846147788466686,0.02
YPEL3,1,-0.19083276185037973,0.02
ZADH2,1,0.00962650711441867,0.02
ZC4H2,1,0.025036645354982075,0.02
ZFHX4-AS1,1,-0.021098689845221237,0.02
ZIC2,1,-0.029725402284866892,0.02
ZNF106,1,0.14619424980404966,0.02
ZNF18,1,-0.03249133458700075,0.02
ZNF213,1,-0.11133783266803832,0.02
ZNF431,1,-0.127088524399947,0.02
