sample_id,title,source_name,platform_id
GSM1407257,NSOI Lacrimal gland 9_9ANS,Lacrimal gland,GPL570
GSM1407258,NSOI Anterior Orbit 10_10BNS,Anterior Orbit,GPL570
GSM1407259,NSOI Lacrimal gland 10_10CNS,Lacrimal gland,GPL570
GSM1407260,NSOI Lacrimal gland 11 Technical replicate 1_11.1ANS,Lacrimal gland,GPL570
GSM1407261,NSOI Lacrimal gland 11 Technical replicate 2_11.2ANS,Lacrimal gland,GPL570
GSM1407262,NSOI Lacrimal gland 12_12ANS,Lacrimal gland,GPL570
GSM1407263,NSOI Anterior Orbit 12 Technical replicate 1_12.1CNS,Anterior Orbit,GPL570
GSM1407264,NSOI Anterior Orbit 12 Technical replicate 2_12.2CNS,Anterior Orbit,GPL570
GSM1407265,NSOI Lacrimal gland 13_13ANS,Lacrimal gland,GPL570
GSM1407266,NSOI Lacrimal gland 14_14ANS,Lacrimal gland,GPL570
GSM1407267,NSOI Anterior Orbit 15 Technical replicate 1_15.1ANS,Anterior Orbit,GPL570
GSM1407268,NSOI Anterior Orbit 15 Technical replicate 2_15.2ANS,Anterior Orbit,GPL570
GSM1407269,NSOI Anterior Orbit 15_15DNS,Anterior Orbit,GPL570
GSM1407270,NSOI Lacrimal gland 16_16ANS,Lacrimal gland,GPL570
GSM1407271,NSOI Lacrimal gland 17_17ANS,Lacrimal gland,GPL570
GSM1407272,NSOI Anterior Orbit 18_18ANS,Anterior Orbit,GPL570
GSM1407273,NSOI Lacrimal gland 18_18BNS,Lacrimal gland,GPL570
GSM1407274,NSOI Lacrimal gland 19_19ANS,Lacrimal gland,GPL570
GSM1407275,NSOI Anterior Orbit 19_19BNS,Anterior Orbit,GPL570
GSM1407276,NSOI Anterior Orbit 20_20ANS,Anterior Orbit,GPL570
GSM1407277,NSOI Anterior Orbit 21_21ANS,Anterior Orbit,GPL570
GSM1407278,NSOI Lacrimal gland 22_22ANS,Lacrimal gland,GPL570
GSM1407279,NSOI Lacrimal gland 23 Technical replicate 1_23.1ANS,Lacrimal gland,GPL570
GSM1407280,NSOI Lacrimal gland 23 Technical replicate 2_23.2ANS,Lacrimal gland,GPL570
GSM1407281,NSOI Lacrimal gland 24_24BNS,Lacrimal gland,GPL570
GSM1407282,NSOI Lacrimal gland 25_25ANS,Lacrimal gland,GPL570
GSM1407283,NSOI Anterior Orbit 26_26ANS,Anterior Orbit,GPL570
GSM1407284,NSOI Lacrimal gland 27_27ANS,Lacrimal gland,GPL570
GSM1407285,NSOI Lacrimal gland 28_28ANS,Lacrimal gland,GPL570
GSM1407286,NSOI Lacrimal gland 29_29ANS,Lacrimal gland,GPL570
GSM1407287,NSOI Lacrimal gland 29_29BNS,Lacrimal gland,GPL570
GSM1407288,NSOI Lacrimal gland 30_30ANS,Lacrimal gland,GPL570
GSM1407289,NSOI Lacrimal gland 30_30BNS,Lacrimal gland,GPL570
GSM1407290,NSOI Lacrimal gland 31_31ANS,Lacrimal gland,GPL570
GSM1407291,NSOI Anterior Orbit 32_32ANS,Anterior Orbit,GPL570
GSM1407292,NSOI Anterior Orbit 33_33ANS,Anterior Orbit,GPL570
GSM1407293,NSOI Anterior Orbit 33_33BNS,Anterior Orbit,GPL570
GSM1407294,NSOI Lacrimal gland 34_34ANS,Lacrimal gland,GPL570
GSM1407295,NSOI Lacrimal gland 35_35ANS,Lacrimal gland,GPL570
GSM1407296,NSOI Anterior Orbit 36_36ANS,Anterior Orbit,GPL570
GSM1407297,NSOI Anterior Orbit 37_37ANS,Anterior Orbit,GPL570
GSM1407298,NSOI Lacrimal gland 38_38ANS,Lacrimal gland,GPL570
GSM1407299,NSOI Lacrimal gland 39_39ANS,Lacrimal gland,GPL570
GSM1407300,NSOI Lacrimal gland 40 Technical replicate 1_40.1ANS,Lacrimal gland,GPL570
GSM1407301,NSOI Lacrimal gland 40 Technical replicate 2_40.2ANS,Lacrimal gland,GPL570
GSM1407302,NSOI Lacrimal gland 41_41ANS,Lacrimal gland,GPL570
GSM1407303,NSOI Lacrimal gland 42_42ANS,Lacrimal gland,GPL570
GSM1407304,NSOI Lacrimal gland 43_43ANS,Lacrimal gland,GPL570
GSM1407305,NSOI Anterior Orbit 45_45ANS,Anterior Orbit,GPL570
GSM1407306,NSOI Lacrimal gland 46_46ANS,Lacrimal gland,GPL570
GSM1407307,NSOI Lacrimal gland 47_47ANS,Lacrimal gland,GPL570
GSM1407308,NSOI Anterior Orbit 48_48ANS,Anterior Orbit,GPL570
GSM1407309,NSOI Lacrimal gland 49_49ANS,Lacrimal gland,GPL570
GSM1407310,NSOI Anterior Orbit 50_50ANS,Anterior Orbit,GPL570
GSM1407311,NSOI Lacrimal gland 51_51ANS,Lacrimal gland,GPL570
GSM1407312,NSOI Anterior Orbit 52_52ANS,Anterior Orbit,GPL570
GSM1407313,NSOI Lacrimal gland 53_53ANS,Lacrimal gland,GPL570
GSM1407314,NSOI Lacrimal gland 54_54ANS,Lacrimal gland,GPL570
GSM1407315,NSOI Anterior Orbit 55_55ANS,Anterior Orbit,GPL570
GSM1407316,NSOI Anterior Orbit 56_56ANS,Anterior Orbit,GPL570
GSM1407317,NSOI Anterior Orbit 57_57ANS,Anterior Orbit,GPL570
GSM1407318,NSOI Anterior Orbit 58_58ANS,Anterior Orbit,GPL570
GSM1407319,NSOI Lacrimal gland 59_59ANS,Lacrimal gland,GPL570
GSM1407320,NSOI Anterior Orbit 60_60ANS,Anterior Orbit,GPL570
GSM1407321,NSOI Lacrimal gland 61_61ANS,Lacrimal gland,GPL570
GSM1407322,Sarcoidosis Lacrimal gland 1_1ASa,Lacrimal gland,GPL570
GSM1407323,Sarcoidosis Anterior Orbit 2 Technical replicate 1_2.1ASa,Anterior Orbit,GPL570
GSM1407324,Sarcoidosis Anterior Orbit 2 Technical replicate 2_2.2ASa,Anterior Orbit,GPL570
GSM1407325,Sarcoidosis Lacrimal gland 3 Technical replicate 1_3.1ASa,Lacrimal gland,GPL570
GSM1407326,Sarcoidosis Lacrimal gland 3 Technical replicate 2_3.2ASa,Lacrimal gland,GPL570
GSM1407327,Sarcoidosis Anterior Orbit 3_3BSa,Anterior Orbit,GPL570
GSM1407328,Sarcoidosis Lacrimal gland 3_3CSa,Lacrimal gland,GPL570
GSM1407329,Sarcoidosis Lacrimal gland 3_3DSa,Lacrimal gland,GPL570
GSM1407330,Sarcoidosis Lacrimal gland 4 Technical replicate 1_4.1ASa,Lacrimal gland,GPL570
GSM1407331,Sarcoidosis Lacrimal gland 4 Technical replicate 2_4.2ASa,Lacrimal gland,GPL570
GSM1407332,Sarcoidosis Lacrimal gland 5_5ASa,Lacrimal gland,GPL570
GSM1407333,Sarcoidosis Anterior Orbit 6_6ASa,Anterior Orbit,GPL570
GSM1407334,Sarcoidosis Anterior Orbit 7_7ASa,Anterior Orbit,GPL570
GSM1407335,Sarcoidosis Lacrimal gland 8 Technical replicate 1_8.1ASa,Lacrimal gland,GPL570
GSM1407336,Sarcoidosis Lacrimal gland 8 Technical replicate 2_8.2ASa,Lacrimal gland,GPL570
GSM1407337,Sarcoidosis Anterior Orbit 9_9ASa,Anterior Orbit,GPL570
GSM1407338,Sarcoidosis Anterior Orbit 10_10ASa,Anterior Orbit,GPL570
GSM1407339,Sarcoidosis Lacrimal gland 11 Technical replicate 1_11.1ASa,Lacrimal gland,GPL570
GSM1407340,Sarcoidosis Lacrimal gland 11 Technical replicate 2_11.2ASa,Lacrimal gland,GPL570
GSM1407341,Sarcoidosis Lacrimal gland 12 Technical replicate 1_12.1ASa,Lacrimal gland,GPL570
GSM1407342,Sarcoidosis Lacrimal gland 12 Technical replicate 2_12.2ASa,Lacrimal gland,GPL570
GSM1407343,Sarcoidosis Anterior Orbit 13_13ASa,Anterior Orbit,GPL570
GSM1407344,GPA Anterior Orbit 1 Technical replicate 1_1.1AWe,Anterior Orbit,GPL570
GSM1407345,GPA Anterior Orbit 1 Technical replicate 2_1.2AWe,Anterior Orbit,GPL570
GSM1407346,GPA Lacrimal gland 2_2AWe,Lacrimal gland,GPL570
GSM1407347,GPA Anterior Orbit 3_3AWe,Anterior Orbit,GPL570
GSM1407348,GPA Anterior Orbit 4 Technical replicate 1_4.1AWe,Anterior Orbit,GPL570
GSM1407349,GPA Anterior Orbit 4 Technical replicate 2_4.2AWe,Anterior Orbit,GPL570
GSM1407350,GPA Anterior Orbit 5 Technical replicate 1_5.1AWe,Anterior Orbit,GPL570
GSM1407351,GPA Anterior Orbit 5 Technical replicate 2_5.2AWe,Anterior Orbit,GPL570
GSM1407352,GPA Anterior Orbit 6_6AWe,Anterior Orbit,GPL570
GSM1407353,GPA Anterior Orbit 7 Technical replicate 1_7.1AWe,Anterior Orbit,GPL570
GSM1407354,GPA Anterior Orbit 7 Technical replicate 2_7.2AWe,Anterior Orbit,GPL570
GSM1407355,Xanthogranuloma Anterior Orbit 1_1AXa,Anterior Orbit,GPL570
GSM1407356,Xanthogranuloma Lacrimal gland 2_2AXa,Lacrimal gland,GPL570
